Socket:
4096	9.05e-06	9.75e-06	1.01e-05	1.11e-05	1.12e-05	1.13e-05	1.14e-05	1.14e-05	
8192	1.34e-05	1.47e-05	1.50e-05	1.60e-05	1.61e-05	1.62e-05	1.64e-05	1.64e-05	
16384	2.50e-05	2.44e-05	2.71e-05	2.49e-05	2.76e-05	2.56e-05	2.76e-05	2.65e-05	
32768	4.34e-05	4.65e-05	4.61e-05	4.75e-05	4.73e-05	4.82e-05	4.78e-05	4.93e-05	
65536	8.32e-05	8.76e-05	9.07e-05	9.10e-05	9.06e-05	9.40e-05	9.26e-05	9.74e-05	
1	1.43e-06	1.50e-06	1.52e-06	1.51e-06	1.54e-06	1.53e-06	1.54e-06	1.54e-06	
2	1.46e-06	1.50e-06	1.52e-06	1.55e-06	1.53e-06	1.56e-06	1.56e-06	1.57e-06	
4	1.82e-06	1.84e-06	1.89e-06	1.84e-06	1.92e-06	1.88e-06	1.95e-06	1.91e-06	
8	1.80e-06	1.75e-06	1.82e-06	1.78e-06	1.83e-06	1.83e-06	1.86e-06	1.87e-06	
16	2.22e-06	2.13e-06	2.26e-06	2.21e-06	2.31e-06	2.30e-06	2.35e-06	2.35e-06	
32	2.21e-06	2.06e-06	2.27e-06	2.14e-06	2.34e-06	2.23e-06	2.41e-06	2.34e-06	
64	2.21e-06	2.23e-06	2.33e-06	2.40e-06	2.57e-06	2.78e-06	2.98e-06	3.17e-06	
128	2.57e-06	2.71e-06	2.87e-06	3.04e-06	3.32e-06	3.57e-06	3.89e-06	4.23e-06	
256	3.35e-06	3.46e-06	3.82e-06	4.06e-06	4.44e-06	4.90e-06	5.54e-06	6.11e-06	
512	4.40e-06	4.64e-06	5.21e-06	5.77e-06	6.76e-06	7.80e-06	8.88e-06	9.89e-06	
1024	6.72e-06	7.20e-06	8.26e-06	9.01e-06	1.09e-05	1.27e-05	1.45e-05	1.62e-05	
2048	6.61e-06	8.80e-06	8.84e-06	8.94e-06	8.96e-06	9.04e-06	9.07e-06	9.13e-06	
4096	8.93e-06	9.74e-06	9.84e-06	1.03e-05	1.04e-05	1.05e-05	1.06e-05	1.07e-05	
8192	1.35e-05	1.47e-05	1.48e-05	1.52e-05	1.54e-05	1.55e-05	1.56e-05	1.57e-05	
16384	2.38e-05	2.54e-05	2.57e-05	2.54e-05	2.59e-05	2.62e-05	2.58e-05	2.70e-05	
32768	4.30e-05	4.62e-05	4.56e-05	4.77e-05	4.65e-05	4.80e-05	4.75e-05	4.88e-05	
65536	8.34e-05	8.87e-05	8.73e-05	9.49e-05	9.01e-05	9.26e-05	9.55e-05	9.65e-05	
1	1.45e-06	1.50e-06	1.50e-06	1.52e-06	1.52e-06	1.54e-06	1.54e-06	1.56e-06	
2	1.47e-06	1.53e-06	1.54e-06	1.55e-06	1.54e-06	1.57e-06	1.57e-06	1.58e-06	
4	1.80e-06	1.84e-06	1.88e-06	1.89e-06	1.90e-06	1.92e-06	1.94e-06	1.94e-06	
8	1.82e-06	1.74e-06	1.83e-06	1.85e-06	1.87e-06	1.94e-06	1.96e-06	1.97e-06	
16	2.24e-06	2.13e-06	2.27e-06	2.18e-06	2.33e-06	2.35e-06	2.38e-06	2.40e-06	
32	2.20e-06	2.11e-06	2.26e-06	2.17e-06	2.35e-06	2.43e-06	2.48e-06	2.55e-06	
64	2.21e-06	2.33e-06	2.46e-06	2.53e-06	2.65e-06	2.94e-06	3.16e-06	3.31e-06	
128	2.60e-06	2.80e-06	2.97e-06	3.11e-06	3.33e-06	3.67e-06	4.02e-06	4.34e-06	
256	3.39e-06	3.63e-06	3.94e-06	4.18e-06	4.52e-06	5.09e-06	5.72e-06	6.28e-06	
512	4.46e-06	4.78e-06	5.31e-06	5.84e-06	6.83e-06	7.98e-06	9.04e-06	9.91e-06	
1024	6.89e-06	7.38e-06	8.48e-06	9.14e-06	1.11e-05	1.29e-05	1.47e-05	1.64e-05	
2048	6.60e-06	9.04e-06	9.04e-06	9.14e-06	9.18e-06	9.21e-06	9.28e-06	9.35e-06	
4096	9.18e-06	1.04e-05	1.05e-05	1.05e-05	1.06e-05	1.07e-05	1.08e-05	1.09e-05	
8192	1.35e-05	1.52e-05	1.53e-05	1.55e-05	1.56e-05	1.57e-05	1.58e-05	1.59e-05	
16384	2.53e-05	2.52e-05	2.61e-05	2.58e-05	2.66e-05	2.57e-05	2.71e-05	2.65e-05	
32768	4.43e-05	4.70e-05	4.66e-05	4.73e-05	4.65e-05	4.83e-05	4.74e-05	4.87e-05	
65536	8.32e-05	8.94e-05	8.92e-05	9.18e-05	9.11e-05	9.26e-05	9.08e-05	9.81e-05	

