Hops: 3
64	3.37e-06	3.63e-06	
128	1.03e-05	1.15e-05	
256	1.33e-05	1.50e-05	
512	1.43e-05	1.63e-05	
1024	1.66e-05	1.85e-05	
2048	1.70e-05	1.88e-05	
4096	2.11e-05	2.38e-05	
8192	3.04e-05	3.41e-05	
16384	4.85e-05	5.49e-05	
32768	8.75e-05	9.36e-05	
65536	1.59e-04	1.71e-04	
1	2.99e-06	3.34e-06	
2	2.99e-06	3.28e-06	
4	3.09e-06	3.32e-06	
8	3.17e-06	3.43e-06	
16	3.16e-06	3.39e-06	
32	3.23e-06	3.51e-06	
64	3.32e-06	3.61e-06	
128	1.04e-05	1.16e-05	
256	1.34e-05	1.50e-05	
512	1.45e-05	1.63e-05	
1024	1.68e-05	1.85e-05	
2048	1.60e-05	1.81e-05	
4096	1.93e-05	2.31e-05	
8192	2.65e-05	3.33e-05	
16384	4.08e-05	5.39e-05	
32768	6.83e-05	9.99e-05	
65536	1.27e-04	2.08e-04	
1	3.02e-06	3.36e-06	
2	3.03e-06	3.28e-06	
4	3.11e-06	3.35e-06	
8	3.18e-06	3.45e-06	
16	3.16e-06	3.42e-06	
32	3.28e-06	3.54e-06	
64	3.41e-06	3.69e-06	
128	1.03e-05	1.15e-05	
256	1.35e-05	1.51e-05	
512	1.47e-05	1.64e-05	
1024	1.70e-05	1.92e-05	
2048	1.72e-05	1.91e-05	
4096	2.12e-05	2.44e-05	
8192	3.04e-05	3.43e-05	
16384	4.84e-05	5.43e-05	
32768	8.76e-05	9.30e-05	
65536	1.58e-04	1.71e-04	




